"nodes","p2","p4","p8","p16","p24"
1000,7.38,8.24,9.4,12.41,18.79
10000,80.29,85.34,89.26,110.3,151.78
15000,122.59,130.65,141.55,177.9,242.63
20000,168.92,173.89,184.85,221.34,282.58
25000,217.96,222.1,237.26,279.81,357.1
30000,252.1,255.05,260.86,306.63,367.18
35000,308.67,311.23,325.32,392.57,492.37
40000,364.63,388.51,380.51,439.99,515.37
45000,404.95,409.93,433.46,518.68,653.67
50000,453.48,462.68,481.37,567.25,695.27
55000,487.59,490.01,529.88,607.68,729.44
60000,563.85,565.49,586.58,697.91,848.67
65000,587.24,583.22,598.14,708.67,830.55
70000,664.61,662.73,672.27,791.25,917.95
75000,712.25,694.21,714.88,836.77,984.79
80000,760.58,760.33,797.7,943.72,1134.35
85000,789.9,852.91,795.37,925.95,1064.94
100000,925.03,914.37,940.39,1100.69,1257.93
300000,3230.63,3168.78,3127.22,3676.63,3876.52
