"nodes","p2","p4","p8","p16","p24"
1000,7.43,8.52,9.29,13.32,24.13
10000,80.93,87.52,95.49,107.61,161.61
15000,124.4,136.1,153.58,176.79,270.82
20000,169.0,174.31,181.49,218.69,313.83
25000,219.38,228.23,238.14,272.56,379.2
30000,253.46,259.77,279.81,294.94,384.7
35000,307.9,320.44,353.15,408.71,574.95
40000,370.49,373.36,377.26,443.68,611.52
45000,409.52,426.64,428.01,525.55,749.52
50000,459.21,470.63,483.99,573.98,735.83
55000,489.68,497.43,542.06,574.24,823.37
60000,568.25,579.08,590.6,673.49,940.25
65000,583.5,599.5,646.03,697.0,862.22
70000,674.86,682.01,714.29,750.37,997.51
75000,711.02,750.11,756.93,868.05,968.03
80000,771.87,787.17,807.94,917.98,1223.8
85000,832.52,801.87,866.46,943.44,1096.16
100000,936.8,947.04,950.99,1140.68,1325.92
300000,3318.37,3253.4,3475.77,3551.21,3797.11
