"nodes","p1","p2","p4","p8","p16","p24"
1000,0.03,0.03,0.03,0.03,0.03,0.03
5000,0.13,0.13,0.13,0.13,0.13,0.13
10000,0.25,0.26,0.26,0.25,0.26,0.26
15000,0.38,0.39,0.39,0.38,0.38,0.38
20000,0.5,0.51,0.51,0.5,0.5,0.5
25000,0.62,0.64,0.64,0.63,0.63,0.63
30000,0.75,0.76,0.76,0.75,0.75,0.75
35000,0.87,0.88,0.88,0.87,0.87,0.87
40000,0.99,1.01,1.01,1.01,1.01,1.01
45000,1.12,1.15,1.15,1.13,1.13,1.14
50000,1.24,1.27,1.27,1.25,1.25,1.25
55000,1.36,1.39,1.38,1.38,1.38,1.37
60000,1.49,1.52,1.54,1.51,1.5,1.5
65000,1.61,1.64,1.64,1.63,1.62,1.63
70000,1.73,1.77,1.77,1.76,1.75,1.75
75000,1.86,1.9,1.89,1.88,1.87,1.87
80000,1.99,2.02,2.02,2.0,2.01,2.0
85000,2.1,2.14,2.15,2.12,2.12,2.12
90000,2.22,2.28,2.28,2.25,2.24,2.24
95000,2.35,2.4,2.41,2.38,2.37,2.37
100000,2.47,2.53,2.54,2.5,2.5,2.5
300000,7.38,7.54,7.58,7.47,7.45,7.45
500000,12.3,12.47,12.56,12.45,12.41,12.46
1000000,24.53,24.89,25.11,24.91,25.06,24.92
