"nodes","p1","p2","p4","p8","p16","p24"
1000,4.76,7.43,8.52,9.29,13.32,24.13
5000,28.66,40.93,45.7,49.38,65.92,103.02
10000,63.06,80.93,87.52,95.49,107.61,161.61
15000,92.32,124.4,136.1,153.58,176.79,270.82
20000,134.53,169.0,174.31,181.49,218.69,313.83
25000,176.7,219.38,228.23,238.14,272.56,379.2
30000,212.93,253.46,259.77,279.81,294.94,384.7
35000,249.96,307.9,320.44,353.15,408.71,574.95
40000,308.24,370.49,373.36,377.26,443.68,611.52
45000,330.88,409.52,426.64,428.01,525.55,749.52
50000,380.99,459.21,470.63,483.99,573.98,735.83
55000,404.43,489.68,497.43,542.06,574.24,823.37
60000,466.0,568.25,579.08,590.6,673.49,940.25
65000,509.18,583.5,599.5,646.03,697.0,862.22
70000,583.7,674.86,682.01,714.29,750.37,997.51
75000,610.06,711.02,750.11,756.93,868.05,968.03
80000,654.36,771.87,787.17,807.94,917.98,1223.8
85000,699.99,832.52,801.87,866.46,943.44,1096.16
90000,766.44,882.85,916.18,884.62,962.39,1238.81
95000,805.89,932.31,955.97,956.74,1086.52,1330.49
100000,814.73,936.8,947.04,950.99,1140.68,1325.92
300000,3058.7,3318.37,3253.4,3475.77,3551.21,3797.11
500000,5896.45,5655.71,5644.48,5710.4,6045.61,6516.88
1000000,14741.57,14442.71,13875.54,13648.07,14281.67,14363.46
