"nodes","p1","p2","p4","p8","p16","p24"
1000,0:00:04,0:00:07,0:00:08,0:00:09,0:00:13,0:00:24
5000,0:00:28,0:00:40,0:00:45,0:00:49,0:01:05,0:01:43
10000,0:01:03,0:01:20,0:01:27,0:01:35,0:01:47,0:02:41
15000,0:01:32,0:02:04,0:02:16,0:02:33,0:02:56,0:04:30
20000,0:02:14,0:02:49,0:02:54,0:03:01,0:03:38,0:05:13
25000,0:02:56,0:03:39,0:03:48,0:03:58,0:04:32,0:06:19
30000,0:03:32,0:04:13,0:04:19,0:04:39,0:04:54,0:06:24
35000,0:04:09,0:05:07,0:05:20,0:05:53,0:06:48,0:09:34
40000,0:05:08,0:06:10,0:06:13,0:06:17,0:07:23,0:10:11
45000,0:05:30,0:06:49,0:07:06,0:07:08,0:08:45,0:12:29
50000,0:06:20,0:07:39,0:07:50,0:08:03,0:09:33,0:12:15
55000,0:06:44,0:08:09,0:08:17,0:09:02,0:09:34,0:13:43
60000,0:07:46,0:09:28,0:09:39,0:09:50,0:11:13,0:15:40
65000,0:08:29,0:09:43,0:09:59,0:10:46,0:11:37,0:14:22
70000,0:09:43,0:11:14,0:11:22,0:11:54,0:12:30,0:16:37
75000,0:10:10,0:11:51,0:12:30,0:12:36,0:14:28,0:16:08
80000,0:10:54,0:12:51,0:13:07,0:13:27,0:15:17,0:20:23
85000,0:11:39,0:13:52,0:13:21,0:14:26,0:15:43,0:18:16
90000,0:12:46,0:14:42,0:15:16,0:14:44,0:16:02,0:20:38
95000,0:13:25,0:15:32,0:15:55,0:15:56,0:18:06,0:22:10
100000,0:13:34,0:15:36,0:15:47,0:15:50,0:19:00,0:22:05
300000,0:50:58,0:55:18,0:54:13,0:57:55,0:59:11,1:03:17
500000,1:38:16,1:34:15,1:34:04,1:35:10,1:40:45,1:48:36
1000000,4:05:41,4:00:42,3:51:15,3:47:28,3:58:01,3:59:23
