#id_sr	time_taken	num_proccess
1	0.0	0
2	1.7e-05	1
3	1.2e-05	1
4	3e-06	1
5	3e-06	2
6	3e-06	4
7	3e-06	8
8	3e-06	2
9	3e-06	5
10	3e-06	17
11	3e-06	26
12	3e-06	37
13	3e-06	47
14	3e-06	60
15	3e-06	50
16	3e-06	46
17	3e-06	37
18	3e-06	20
19	3e-06	10
20	3e-06	5
21	3e-06	4
22	3e-06	2
23	3e-06	4
24	1.6e-05	1
25	3e-06	1
26	3e-06	1
27	3e-06	2
28	3e-06	1
29	3e-06	2
30	3e-06	4
31	3e-06	5
32	3e-06	5
33	3e-06	12
34	3e-06	22
35	3e-06	24
36	3e-06	22
37	3e-06	20
38	3e-06	14
39	3e-06	3
40	3e-06	4
41	3e-06	8
42	3e-06	25
43	3e-06	10
44	3e-06	6
45	3e-06	4
46	1.4e-05	1
47	3e-06	1
48	3e-06	1
49	3e-06	1
50	3e-06	2
51	3e-06	3
52	3e-06	8
53	9e-06	1
54	9e-06	4
55	9e-06	4
56	9e-06	12
57	9e-06	16
58	9e-06	18
59	9e-06	26
60	9e-06	22
61	9e-06	22
62	9e-06	16
63	9e-06	9
64	9e-06	4
65	1.2e-05	1
66	1.2e-05	6
67	1.2e-05	2
68	1.2e-05	3
69	3e-06	1
70	3e-06	11
71	3e-06	3
72	1.4e-05	1
73	9e-06	1
74	3e-06	1
75	3e-06	1
76	3e-06	2
77	3e-06	2
78	3e-06	1
79	3e-06	1
80	3e-06	3
81	3e-06	2
82	3e-06	5
83	3e-06	4
84	3e-06	10
85	3e-06	6
86	3e-06	2
87	3e-06	3
88	3e-06	4
89	3e-06	4
90	3e-06	2
91	3e-06	2
92	3e-06	4
93	3e-06	3
94	3e-06	5
95	3e-06	4
96	3e-06	3
97	4e-06	1
98	4e-06	2
99	3e-06	1
100	3e-06	1
101	3e-06	2
102	3e-06	5
103	3e-06	1
104	3e-06	1
105	3e-06	5
106	3e-06	3
107	1.3e-05	1
108	1e-05	1
109	3e-06	1
110	3e-06	1
111	3e-06	3
112	3e-06	4
113	3e-06	1
114	3e-06	1
115	2e-06	1
116	3e-06	1
117	3e-06	6
118	3e-06	4
119	3e-06	5
120	3e-06	5
121	3e-06	5
122	3e-06	5
123	3e-06	5
124	3e-06	7
125	3e-06	6
126	3e-06	14
127	3e-06	9
128	3e-06	2
129	3e-06	3
130	5e-06	1
131	5e-06	5
132	5e-06	2
133	4e-06	1
134	4e-06	4
135	4e-06	2
136	4e-06	3
137	3e-06	1
138	3e-06	8
139	3e-06	2
140	3e-06	1
141	3e-06	2
142	3e-06	1
143	2e-06	1
144	2e-06	2
145	2e-06	2
146	2e-06	6
147	2e-06	7
148	2e-06	2
149	2e-06	2
150	3e-06	1
151	3e-06	9
152	3e-06	9
153	3e-06	1
154	3e-06	2
155	3e-06	4
156	3e-06	6
157	1.4e-05	1
158	1.4e-05	2
159	2e-06	1
160	3e-06	1
161	3e-06	1
162	3e-06	1
163	5e-06	1
164	5e-06	2
165	3e-06	1
166	3e-06	1
167	1.2e-05	1
168	5e-06	1
169	5e-06	2
170	8e-06	1
171	5e-06	1
172	1.1e-05	1
173	1.1e-05	2
174	1e-05	1
175	3e-06	1
