#id_sr	time_taken	num_proccess
1	0.0	0
2	1.7e-05	1
3	1.7e-05	1
4	2.5e-05	1
5	2.5e-05	1
6	3e-06	1
7	3e-06	1
8	3e-06	2
9	3e-06	2
10	3e-06	4
11	3e-06	4
12	3e-06	8
13	3e-06	8
14	3e-06	2
15	3e-06	2
16	3e-06	5
17	3e-06	5
18	3e-06	17
19	3e-06	17
20	3e-06	26
21	3e-06	26
22	3e-06	37
23	3e-06	37
24	3e-06	47
25	3e-06	47
26	3e-06	60
27	3e-06	60
28	3e-06	50
29	3e-06	50
30	3e-06	46
31	3e-06	46
32	3e-06	37
33	3e-06	37
34	3e-06	20
35	3e-06	20
36	3e-06	10
37	3e-06	10
38	3e-06	5
39	3e-06	5
40	3e-06	4
41	3e-06	4
42	3e-06	2
43	3e-06	2
44	3e-06	4
45	1.6e-05	1
46	1.6e-05	1
47	3e-06	1
48	3e-06	1
49	3e-06	1
50	3e-06	1
51	3e-06	2
52	3e-06	2
53	3e-06	1
54	3e-06	1
55	3e-06	2
56	3e-06	2
57	3e-06	4
58	3e-06	3
59	3e-06	5
60	3e-06	10
61	3e-06	5
62	3e-06	31
63	3e-06	12
64	3e-06	43
65	3e-06	22
66	3e-06	71
67	3e-06	24
68	3e-06	90
69	3e-06	22
70	3e-06	113
71	3e-06	20
72	3e-06	103
73	3e-06	14
74	3e-06	90
75	3e-06	3
76	3e-06	77
77	3e-06	4
78	3e-06	38
79	3e-06	8
80	3e-06	25
81	3e-06	10
82	3e-06	6
83	3e-06	4
84	1.4e-05	1
85	3.5e-05	1
86	9e-06	1
87	9e-06	1
88	3e-06	1
89	3e-06	1
90	3e-06	1
91	3e-06	1
92	3e-06	2
93	1.3e-05	1
94	1.3e-05	3
95	1.3e-05	2
96	1.3e-05	8
97	1.3e-05	10
98	1.3e-05	5
99	1.3e-05	2
100	1.3e-05	3
101	1.3e-05	45
102	1.3e-05	5
103	1.3e-05	4
104	1.3e-05	5
105	1.3e-05	5
106	1.3e-05	8
107	1.3e-05	4
108	1.3e-05	21
109	1.3e-05	7
110	1.3e-05	22
111	1.3e-05	12
112	1.3e-05	35
113	1.3e-05	13
114	1.3e-05	35
115	1.3e-05	9
116	1.3e-05	34
117	1.3e-05	4
118	1.3e-05	32
119	1.2e-05	1
120	1.2e-05	19
121	1.1e-05	1
122	1.1e-05	13
123	1.1e-05	6
124	1.1e-05	9
125	1.1e-05	4
126	1.1e-05	7
127	1.1e-05	7
128	1.1e-05	5
129	1.1e-05	5
130	1.1e-05	3
131	1.1e-05	3
132	1.1e-05	2
133	1.1e-05	2
134	1.1e-05	15
135	1.1e-05	15
136	4e-06	1
137	4e-06	1
138	3e-06	1
139	3e-06	1
140	3e-06	1
141	3e-06	1
142	3e-06	4
143	3e-06	4
144	3e-06	1
145	3e-06	1
146	3e-06	1
147	3e-06	1
148	3e-06	1
149	3e-06	1
150	3e-06	2
151	3e-06	2
152	3e-06	2
153	1.5e-05	1
154	1.5e-05	1
155	1.1e-05	1
156	1.1e-05	1
157	3e-06	1
158	3e-06	1
159	3e-06	1
160	3e-06	1
161	3e-06	2
162	3e-06	2
163	3e-06	2
164	7e-06	1
165	3e-06	1
166	7e-06	1
